2.0527,-0.10545,0.2179
-0.10647,0.68192,1.8914
-0.58787,0.18564,1.8722
-0.25504,-0.49198,1.8116
0.22034,0.083496,1.7968
0.76731,-0.54327,1.6984
0.26106,0.11108,1.9268
1.7439,-0.60286,0.99448
1.9493,0.28511,0.069748
-1.105,0.8943,1.2878
-1.8437,-0.46916,0.23778
-0.6913,-0.48333,1.8263
0.54626,1.1954,1.461
-0.63474,-1.9032,0.57176
1.3802,-1.0781,1.0751
-0.13904,1.7869,1.1075
0.4213,-0.0055724,1.8611
0.98553,0.56792,1.734
0.085557,-1.9967,0.82132
-0.73151,1.6706,0.69335
-1.0098,-1.2143,1.4006
-0.5506,0.45128,1.5883
-1.2872,-0.64809,1.4187
0.80376,1.6082,0.73021
-0.26096,-0.058993,2.0893
0.022121,0.27982,1.9448
0.018855,-0.77006,1.936
-0.35758,-1.7693,-0.060271
0.39121,1.8763,0.078512
0.22289,0.21575,1.8537
-0.19962,-0.55057,1.7588
-1.9614,-0.67951,0.34859
-1.639,-1.067,0.098464
1.5481,-1.2647,0.42609
-2.0501,-0.27661,0.12345
1.0908,-1.4617,0.81296
1.73,-0.62156,0.7928
-1.4977,0.40239,1.3378
0.024941,0.14299,1.8971
0.87483,-0.952,1.2638
-0.34443,-0.013163,2.0662
1.2782,-1.5931,0.086604
-0.22387,0.53427,1.8502
-1.1208,0.50034,1.8487
2.0954,0.23739,0.44614
-1.4918,-0.99959,0.98167
-0.83395,0.89885,1.6548
0.14043,0.10261,2.0194
1.8596,0.80074,0.64456
1.7045,0.27459,0.65841
-0.38055,-2.0039,0.018789
0.36804,-1.2072,1.654
0.73745,0.92505,1.5094
1.9822,-0.27224,0.42857
1.7482,-0.90395,0.56379
0.30097,0.86524,1.8854
1.1696,-1.2824,0.61846
0.73614,1.1704,1.3659
0.48017,-1.7345,0.84236
1.6799,-0.32208,1.1379
-1.1571,0.79272,1.4501
1.7036,1.017,0.51404
-0.35698,0.11101,2.1987
-0.74742,-1.2529,1.07
-1.1996,1.0114,1.0163
0.74001,-0.95189,1.4693
-1.1747,1.1292,1.1234
1.4156,-0.38914,1.2539
-0.27381,0.22116,2.1166
1.6385,0.20025,0.88028
-1.9078,0.92984,0.5628
-1.6796,0.15719,1.2903
0.13804,0.36417,1.9046
-0.61729,0.39451,1.9762
0.35546,0.581,2.0363
-0.8037,1.6483,0.50725
-1.63,0.41157,1.1691
-0.11611,-0.11166,1.8677
1.087,-0.42218,1.5487
0.21513,1.7592,1.0655
-1.4526,-0.61639,1.295
-0.66719,0.65846,1.7969
-1.103,0.075593,1.5604
-0.78985,1.7487,0.58835
-0.51977,1.4779,1.3595
-0.39942,1.9449,0.44351
-0.12518,0.1136,1.9434
0.82203,-0.32183,1.888
-1.0882,0.13239,1.637
0.35219,-0.71138,1.6395
-0.79255,-0.69831,1.7669
0.08636,2.0146,0.53382
-1.8745,0.20792,0.58675
-0.23991,-0.50278,2.0388
0.22376,-0.13713,1.9487
-0.67885,-1.1698,1.508
-1.4326,-0.69017,1.0899
0.074815,1.978,0.24405
-1.349,1.2766,0.5117
1.7289,-0.81384,0.20616
-0.76051,0.038634,2.0696
1.1704,-1.7693,0.4354
0.040198,-1.7415,0.4834
1.4448,-1.4062,0.20642
0.069627,-1.0059,1.8042
-0.55508,1.6742,0.77002
-1.7605,0.57758,0.5139
-0.092492,-0.038125,2.0421
-1.4679,0.93262,0.74953
-1.8744,0.68201,0.45365
-0.78923,-0.52267,1.5957
-0.35567,1.8785,0.64912
-0.28475,0.23285,1.9069
0.65138,1.9597,0.29688
-0.12093,-0.036124,2.1187
